Dates, ACWI INDEX , SPX INDEX , NDX INDEX , MXEF INDEX , DAX INDEX , SXXE INDEX , UKX INDEX , TPX INDEX , ILS Curncy , EUR  Curncy , GBP Curncy , JPY Curncy ,,,,,,,
16/11/2020, 1.23 , 1.16 , 0.63 , 1.24 , 0.47 , 1.16 , 1.66 , 1.68 , -0.20 , 0.15 , 0.08 , -0.05 ,,,,,,,
13/11/2020, 1.34 , 1.36 , 0.94 , 0.53 , 0.18 , 0.25 , -0.36 , -1.33 , -0.17 , 0.24 , 0.54 , -0.48 ,,,,,,,
12/11/2020, -1.08 , -1.00 , -0.55 , 0.27 , -1.24 , -0.89 , -0.68 , -0.16 , -0.06 , 0.25 , -0.79 , -0.28 ,,,,,,,
11/11/2020, 0.83 , 0.77 , 2.31 , -0.09 , 0.40 , 0.74 , 1.35 , 1.66 , -0.13 , -0.32 , -0.38 , 0.12 ,,,,,,,
10/11/2020, -0.08 , -0.14 , -1.74 , -1.04 , 0.51 , 1.01 , 1.79 , 1.12 , 0.39 , 0.02 , 0.81 , -0.08 ,,,,,,,
09/11/2020, 1.45 , 1.17 , -2.16 , 1.36 , 4.94 , 5.22 , 4.67 , 1.41 , -0.16 , -0.51 , 0.08 , 1.96 ,,,,,,,
06/11/2020, 0.13 , -0.03 , 0.11 , 0.87 , -0.70 , -0.43 , 0.07 , 0.52 , -0.19 , 0.41 , 0.06 , -0.14 ,,,,,,,
05/11/2020, 2.03 , 1.95 , 2.56 , 2.73 , 1.98 , 1.55 , 0.39 , 1.39 , -0.35 , 0.85 , 1.23 , -0.99 ,,,,,,,
04/11/2020, 2.11 , 2.20 , 4.41 , 1.28 , 1.95 , 1.93 , 1.67 , 1.20 , -0.55 , 0.09 , -0.54 , 0.03 ,,,,,,,
03/11/2020, 1.84 , 1.78 , 1.76 , 0.55 , 2.55 , 2.41 , 2.33 , 1.81 , 0.02 , 0.64 , 1.10 , -0.22 ,,,,,,,
02/11/2020, 1.10 , 1.23 , 0.29 , 1.02 , 2.01 , 1.84 , 1.39 , 1.81 , 0.00 , -0.05 , -0.23 , 0.06 ,,,,,,,
30/10/2020, -0.86 , -1.21 , -2.62 , -1.49 , -0.36 , 0.08 , -0.08 , -1.96 , -0.23 , -0.23 , 0.13 , 0.05 ,,,,,,,
